"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"290" "Tachornis_squamata" "10.97" 0 0 0 0 10 40 20 30 0
"291" "Thalurania_watertonii" "4.6" 0 0 0 0 40 60 0 0 0
"292" "Tigrisoma_lineatum" "812.99" 0 0 80 20 0 0 0 0 0
"293" "Trogon_curucui" "54" 0 0 0 10 30 30 30 0 0
"294" "Touit_melanonotus" "66.51" 0 0 0 0 30 50 20 0 0
"295" "Touit_surdus" "66.51" 0 0 0 0 30 50 20 0 0
"296" "Triclaria_malachitacea" "90" 0 0 0 0 30 50 20 0 0
"297" "Trogon_surrucura" "73.29" 0 0 0 0 0 100 0 0 0
"298" "Uropelia_campestris" "35.2" 0 0 0 100 0 0 0 0 0
"299" "Trogon_viridis" "89.69" 0 0 0 10 0 30 60 0 0
"300" "Veniliornis_maculifrons" "38.69" 0 0 0 10 30 30 30 0 0
"301" "Veniliornis_mixtus" "28.74" 0 0 0 0 50 50 0 0 0
"302" "Anthus_lutescens" "12.6" 0 0 0 100 0 0 0 0 0
"303" "Conopophaga_cearae" "22" 0 0 0 60 40 0 0 0 0
"304" "Conopophaga_lineata" "25.21" 0 0 0 60 40 0 0 0 0
"305" "Contopus_cinereus" "11.6" 0 0 0 0 30 70 0 0 0
"306" "Cichlocolaptes_leucophrus" "50" 0 0 0 0 20 80 0 0 0
"307" "Cichlopsis_leucogenys" "53.77" 0 0 0 20 30 30 20 0 0
"308" "Dendrocincla_turdina" "39" 0 0 0 0 40 60 0 0 0
"309" "Formicivora_paludicola" "10" 0 0 0 50 50 0 0 0 0
"310" "Elaenia_chiriquensis" "15.4" 0 0 0 0 40 60 0 0 0
"311" "Elaenia_sordida" "23.9" 0 0 0 0 0 20 60 20 0
"312" "Furnarius_leucopus" "54.8" 0 0 0 100 0 0 0 0 0
"313" "Euscarthmus_meloryphus" "6.8" 0 0 0 0 100 0 0 0 0
"314" "Formicivora_grisea" "10.36" 0 0 0 20 40 40 0 0 0
"315" "Formicivora_serrana" "11.4" 0 0 0 50 50 0 0 0 0
"316" "Herpsilochmus_rufimarginatus" "10.58" 0 0 0 0 0 100 0 0 0
"317" "Hylophilus_thoracicus" NA NA 0 0 0 0 50 50 0 0
"318" "Laniisoma_elegans" "47.4" 0 0 0 50 50 0 0 0 0
"319" "Mackenziaena_leachii" "70.2" 0 0 0 40 40 20 0 0 0
"320" "Manacus_manacus" "16.7" 0 0 0 0 80 20 0 0 0
"321" "Myiarchus_swainsoni" "25.1" 0 0 0 0 100 0 0 0 0
"323" "Myiarchus_tyrannulus" "35.45" 0 0 0 20 80 0 0 0 0
"324" "Myiobius_barbatus" "11.9" 0 0 0 0 30 70 0 0 0
"325" "Myiophobus_fasciatus" "9.9" 0 0 0 0 100 0 0 0 0
"327" "Neopelma_pallescens" "18.2" 0 0 0 0 50 50 0 0 0
"328" "Pachyramphus_viridis" "21" 0 0 0 0 50 50 0 0 0
"329" "Procnias_averano" "146.06" 0 0 0 0 50 50 0 0 0
"330" "Progne_subis" "53.79" 0 0 0 20 20 20 20 20 0
"331" "Phaeomyias_murina" "10" 0 0 0 0 33 33 33 0 0
"333" "Phyllomyias_griseocapilla" "8" 0 0 0 0 70 30 0 0 0
"334" "Piprites_pileata" "15" 0 0 0 0 0 20 80 0 0
"335" "Poecilotriccus_plumbeiceps" "5.7" 0 0 0 0 100 0 0 0 0
"336" "Psilorhamphus_guttatus" "11.3" 0 0 0 10 60 30 0 0 0
"337" "Thamnophilus_ruficapillus" "20.4" 0 0 0 0 20 80 0 0 0
"338" "Ramphotrigon_megacephalum" "14.2" 0 0 0 0 50 50 0 0 0
"339" "Rhynchocyclus_olivaceus" "21.3" 0 0 0 0 50 50 0 0 0
"340" "Schoeniophylax_phryganophilus" "18.6" 0 0 0 60 40 0 0 0 0
"341" "Sclerurus_caudacutus" "36.23" 0 0 0 100 0 0 0 0 0
"342" "Sclerurus_cearensis" "36.9" 0 0 0 100 0 0 0 0 0
"343" "Sakesphorus_cristatus" "17.7" 0 0 0 30 50 20 0 0 0
"344" "Schiffornis_turdina" "31.7" 0 0 0 0 100 0 0 0 0
"345" "Scytalopus_gonzagai" NA NA NA NA NA NA NA NA NA NA
"346" "Scytalopus_pachecoi" "15.1" 0 0 0 60 30 10 0 0 0
"347" "Sirystes_sibilator" "32.3" 0 0 0 0 0 0 100 0 0
"348" "Serpophaga_nigricans" "8.5" 0 0 0 60 40 0 0 0 0
"349" "Serpophaga_subcristata" "6.6" 0 0 0 0 33 33 33 0 0
"350" "Scytalopus_petrophilus" NA NA NA NA NA NA NA NA NA NA
"351" "Sporophila_bouvreuil" NA NA 0 0 50 50 0 0 0 0
"352" "Sporophila_pileata" NA NA 0 0 50 50 0 0 0 0
"353" "Stigmatura_budytoides" "11.08" 0 0 0 0 50 50 0 0 0
"354" "Suiriri_suiriri" "14.53" 0 0 0 0 50 50 0 0 0
"355" "Synallaxis_hypospodia" "16.9" 0 0 0 0 100 0 0 0 0
"356" "Synallaxis_infuscata" "18.2" 0 0 0 0 100 0 0 0 0
"357" "Synallaxis_scutata" "15.4" 0 0 0 100 0 0 0 0 0
"358" "Tachuris_rubrigastra" "7.8" 0 0 0 0 100 0 0 0 0
"359" "Syndactyla_dimidiata" "29.4" 0 0 0 0 50 50 0 0 0
"360" "Lipaugus_conditus" "80" 0 0 0 0 50 50 0 0 0
"362" "Tolmomyias_flaviventris" "12.2" 0 0 0 0 0 20 80 0 0
"363" "Turdus_albicollis" "54" 0 0 0 80 0 20 0 0 0
"364" "Turdus_subalaris" "49.5" 0 0 0 20 40 40 0 0 0
"365" "Xenopsaris_albinucha" "10" 0 0 0 50 50 0 0 0 0
"366" "Xenops_minutus" "10.6" 0 0 0 0 50 50 0 0 0
"367" "Xiphorhynchus_atlanticus" NA NA NA NA NA NA NA NA NA NA
"368" "Cacicus_cela" "85.45" 0 0 0 0 0 20 80 0 0
"369" "Charitospiza_eucosma" NA NA 0 0 90 10 0 0 0 0
"370" "Geothlypis_aequinoctialis" "13.1" 0 0 0 0 100 0 0 0 0
"371" "Nemosia_rourei" "16" 0 0 0 0 30 70 0 0 0
"372" "Microspingus_cinereus" NA NA 0 0 20 50 30 0 0 0
"373" "Tangara_brasiliensis" "20.5" 0 0 0 0 30 30 40 0 0
"374" "Pipraeidea_bonariensis" "36" 0 0 0 0 30 30 40 0 0
